ORF,Xi
YOL154W,1.61518E-05
YOL155C,3.93821E-05
YOL155W-A,0
YOL156W,1.287E-07
YOL157C,3.21749E-07
YOL158C,3.77734E-05
YOL159C,9.65248E-06
YOL159C-A,3.60359E-06
YOL160W,6.43499E-08
YOL161C,6.43499E-08
YOL162W,1.287E-07
YOL163W,1.287E-07
YOL164W,3.15314E-06
YOL164W-A,0
YOL165C,6.43499E-08
YOL166W-A,0
YNR077C,0
YNR076W,0
YNR075C-A,0
YNR075W,4.24709E-06
YNR074C,2.20077E-05
YNR073C,2.57399E-07
YNR072W,1.287E-07
YNR071C,7.07849E-07
YNR070W,9.65248E-07
YNR069C,9.00898E-07
YNR068C,1.287E-07
YNR067C,0.000224517
YNR066C,2.83139E-06
YNR065C,3.86099E-07
YNR064C,1.22265E-06
