Protein,phi
YGR192C,0.002205666
YGR193C,0.000131236
YGR194C,5.85759E-05
YGR195W,5.70932E-05
YGR197C,3.36567E-05
YGR198W,0.000313213
YGR199W,0.000385204
YGR200C,0.000301533
YGR202C,0
YGR203W,5.76354E-05
YGR204W,0.001690504
YGR205W,0.000389498
YGR207C,0.000148063
YGR208W,4.13446E-05
YGR209C,0.000114081
YGR210C,8.53E-05
YGR211W,0.000709862
YGR215W,2.92822E-05
YGR218W,0.000366708
YGR220C,4.16459E-05
YGR229C,0.000271844
YGR231C,0.000376284
YGR232W,6.29379E-05
YGR233C,0
YGR234W,0.001923574
YGR235C,7.35075E-05
YGR240C,0.001882567
YGR244C,0.001172607
YGR248W,0.000118096
YGR250C,0.000327134
YGR253C,0.000255059
YGR254W,0.011412991
YGR261C,0.000155859
YGR262C,0
YGR264C,0.000530582
YGR266W,0.000328034
YGR267C,5.09548E-05
YGR268C,1.53675E-05
YGR270W,0
YGR271W,0
YGR275W,2.31715E-05
YGR276C,0.000332007
YGR277C,5.93705E-05
YGR279C,0.000329672
YGR280C,5.62951E-05
YGR282C,0.001582327
YGR284C,5.28313E-05
YGR285C,0.000695795
YHL001W,0.000152618
YHL002W,0.000127512
YHL007C,0.000124396
YHL009C,3.0234E-06
YHL011C,0.000264499
YHL014C,2.53808E-05
YHL015W,0.000999573
YHL021C,0.000283242
YHL025W,0
YHL030W,0.000274262
YHL031C,0.000105672
YHL033C,0.000600702
YHL034C,0.001045474
YHL039W,0.00010148
YHR001W,0.000218015
YHR001W-A,1.99774E-05
YHR003C,0
YHR005C-A,2.5223E-05
YHR007C,0.000391251
YHR008C,0.001170702
YHR009C,0.000172675
YHR010W,5.28587E-05
YHR012W,0.000121498
YHR019C,0.000679143
YHR020W,0.000846219
YHR023W,5.89649E-05
YHR024C,0.000119955
YHR025W,0.000579238
YHR027C,0.000510469
YHR028C,0.000228709
YHR029C,0.000136532
YHR030C,5.73207E-05
YHR034C,1.99092E-05
YHR037W,0.000467477
YHR038W,4.74751E-05
YHR039C,0.000405028
YHR039C-A,0.000172676
YHR041C,6.22406E-05
YHR042W,0.000894974
YHR046C,2.95501E-05
YHR047C,0.000468867
YHR049W,5.77642E-05
YHR051W,0.000289246
YHR052W,0.000102982
YHR056C,7.36537E-05
YHR057C,9.53639E-06
YHR058C,4.51991E-05
YHR060W,3.45827E-05
YHR062C,4.10866E-05
YHR063C,0.000136952
YHR064C,0.001273935
YHR065C,0.000192105
YHR066W,5.49346E-06
YHR068W,0.000490688
YHR069C,4.18882E-05
YHR070W,4.42068E-05
YHR072W-A,1.63361E-05
YHR073W,0.000101227
YHR074W,0.000269392
YHR076W,0.000115192
YHR077C,2.38677E-05
YHR081W,3.31669E-05
YHR085W,1.01225E-05
YHR087W,6.17376E-05
YHR088W,5.09209E-05
YHR089C,6.03137E-05
YHR098C,0.000291556
YHR104W,0.000399547
YHR106W,0.000178859
YHR107C,0.000320272
YHR108W,0.000124076
YHR110W,3.29854E-05
YHR111W,0.000138718
YHR112C,0.000104607
YHR113W,0.000204467
YHR114W,0.000165727
YHR117W,0.000160861
YHR118C,0
YHR121W,4.9559E-05
YHR122W,1.46025E-05
YHR123W,4.13048E-05
YHR127W,4.3535E-05
YHR128W,0.000297375
YHR132C,0.000193893
YHR132W-A,2.09464E-05
YHR135C,0.000140682
YHR137W,0.001292088
YHR138C,6.17744E-05
YHR143W-A,7.48889E-05
YHR144C,5.52259E-05
YHR146W,0.000266633
YHR148W,7.40341E-05
YHR152W,0
YHR158C,0.000262342
YHR161C,1.40577E-05
YHR162W,4.01818E-06
YHR163W,0.000191895
YHR167W,3.43804E-05
YHR169W,9.69952E-05
YHR170W,0.000337871
YHR174W,0.006468935
YHR179W,0.001380645
YHR183W,0.002260017
YHR187W,8.94417E-05
YHR188C,0.000369295
YHR190W,0.000138926
YHR191C,1.97977E-05
YHR193C,0.000781403
YHR196W,0.000183721
YHR198C,0.000117596
YHR199C,0.000169542
YHR200W,0.000249565
YHR201C,8.32172E-05
YHR202W,0.000133923
YHR208W,0.000602019
YHR216W,0.000104611
YIL005W,0.000114017
YIL007C,3.13245E-05
YIL009W,2.17096E-05
YIL010W,0.000120388
YIL014W,8.46362E-05
YIL021W,0.000157248
YIL022W,0.000409714
YIL030C,0.000298534
YIL033C,0.000876748
YIL034C,0.000242282
YIL035C,5.17297E-05
YIL036W,0.000107708
YIL038C,0.000162915
YIL041W,0.001053245
YIL043C,0.000178719
YIL044C,2.71454E-05
YIL048W,0
YIL051C,0.000520017
YIL053W,0.000135904
YIL062C,0.000304215
YIL063C,7.62566E-05
YIL064W,6.46262E-05
YIL065C,6.36758E-05
YIL070C,0.000131528
YIL074C,0.00024111
YIL075C,0.000725782
